symbol,turnover,closingPrice,securityName,securityId
BEDC,4530.0,453.0,Bhugol Energy Development Company Limited,9171
TVCL,4419.0,441.9,Trishuli Jal Vidhyut Company Limited ,9218
MKJC,4300.0,430.0,Mailung Khola Jal Vidhyut Company Limited,8005
SBI,4101.0,410.1,Nepal SBI Bank Limited,135
AKJCL,3880.0,194.0,Ankhu Khola Jalvidhyut Company Ltd,2788
MLBL,3825.0,382.5,Mahalaxmi Bikas Bank Ltd.,401
SGHC,3675.0,367.5,Swet-Ganga Hydropower & Construction Limited ,8100
RADHI,3661.0,366.1,Radhi Bidyut Company Ltd,2776
MBJC,3214.0,321.4,Madhya Bhotekoshi Jalavidyut Company Limited,8031
SPDL,2673.0,267.3,Synergy Power Development Ltd.,2759
HBL,2420.0,242.0,Himalayan Bank Limited,134
MBL,2330.0,233.0,Machhapuchhre Bank Limited,140
NSIF2,1154.0,11.54,NMB Sulav Investment Fund - 2,8125
SAEF,1044.0,10.44,Sanima Equity Fund,2773
NICGF,995.0,9.95,NIC Asia Growth Fund,2779
