symbol,shareTraded,closingPrice,securityName,securityId
SJCL,30,307.8,SANJEN JALAVIDHYUT COMPANY LIMITED,2842
NRM,30,412.0,Nepal Republic Media Limited,9183
MHCL,30,364.0,Molung Hydropower Company Limited,9158
VLUCL,30,620.0,Vision Lumbini Urja Company Limited ,9225
SWMF,29,770.0,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,706
RSDC,25,664.8,RSDC Laghubitta Bittiya Sanstha Ltd.,2748
AKJCL,20,194.0,Ankhu Khola Jalvidhyut Company Ltd,2788
SINDU,20,548.8,Sindhu Bikash Bank Ltd,561
HLI,20,448.1,Himalayan Life Insurance Limited,393
SANIMA,20,320.0,Sanima Bank Limited,171
EHPL,20,710.0,Eastern Hydropower Limited,8131
UAIL,19,610.0,United Ajod Insurance Limited,180
SICL,18,790.0,Shikhar Insurance Co. Ltd.,192
SPIL,16,830.0,Siddhartha Premier Insurance Limited,182
KPCL,14,454.0,Kalika power Company Ltd,2787
SKBBL,12,890.0,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,574
GRDBL,10,635.4,Green Development Bank Ltd.,2744
SPDL,10,267.3,Synergy Power Development Ltd.,2759
WNLB,10,2448.0,Wean Nepal Laghubitta Bittiya Sanstha Limited,2781
NADEP,10,1029.0,Nadep Laghubittiya bittya Sanstha Ltd.,2784
RADHI,10,366.1,Radhi Bidyut Company Ltd,2776
NLG,10,1281.1,NLG Insurance Company Ltd.,559
MLBL,10,382.5,Mahalaxmi Bikas Bank Ltd.,401
NABBC,10,547.0,Narayani Development Bank Limited,172
MBL,10,233.0,Machhapuchhre Bank Limited,140
HBL,10,242.0,Himalayan Bank Limited,134
SBI,10,410.1,Nepal SBI Bank Limited,135
LBBL,10,456.9,Lumbini Bikas Bank Ltd.,358
BNT,10,13999.0,Bottlers Nepal (Terai) Limited,213
SFCL,10,518.2,Samriddhi Finance Company Limited,256
SPL,10,808.5,Shuvam Power Limited,9147
MBJC,10,321.4,Madhya Bhotekoshi Jalavidyut Company Limited,8031
RFPL,10,535.0,River Falls Power Limited,8066
SGHC,10,367.5,Swet-Ganga Hydropower & Construction Limited ,8100
SAPDBL,10,483.4,Saptakoshi Development Bank Ltd,2860
MKJC,10,430.0,Mailung Khola Jal Vidhyut Company Limited,8005
NWCL,10,916.9,Nepal Warehousing Company Limited ,9233
BEDC,10,453.0,Bhugol Energy Development Company Limited,9171
MCHL,10,473.0,Menchhiyam Hydropower Limited,9175
IHL,10,496.0,Ingwa Hydropower Limited,9176
TVCL,10,441.9,Trishuli Jal Vidhyut Company Limited ,9218
