securityId,securityName,symbol,indexId,openPrice,highPrice,lowPrice,totalTradeQuantity,totalTradeValue,lastTradedPrice,percentageChange,lastUpdatedDateTime,lastTradedVolume,previousClose,averageTradedPrice
3946,CEDB Hydropower Development Company Limited,CHDC,58,1717.6,1717.6,1668.0,1156,1944860.7,1684.0,0.0,2024-09-25 11:10:17.630635,100,1684.0,1682.41
360,Arun Valley Hydropower Development Co. Ltd.,AHPC,58,252.0,256.9,252.0,9693,2455790.0,256.9,1.86,2024-09-25 11:10:17.567498,120,252.2,253.36
255,Prabhu  Bank Limited,PRVU,58,229.0,229.0,225.0,1781,402030.2,227.0,-0.13,2024-09-25 11:10:16.666074,250,227.3,225.73
9193,Ghorahi Cement Industry Limited,GCIL,58,465.6,468.0,465.6,43,20052.8,468.0,-0.64,2024-09-25 11:10:16.526609,10,471.0,466.34
1741,Mero Microfinance Bittiya Sanstha Ltd.,MERO,58,702.3,702.3,702.3,10,7023.0,702.3,-1.11,2024-09-25 11:10:16.436244,10,710.2,702.3
187,Nepal Life Insurance Co. Ltd.,NLIC,58,738.0,738.0,738.0,160,118080.0,738.0,0.0,2024-09-25 11:10:15.645136,10,738.0,738.0
341,Global IME Bank Limited,GBIME,58,235.0,238.0,232.3,3546,838129.5,238.0,1.32,2024-09-25 11:10:15.577014,10,234.9,236.36
9209,Citizen Life Insurance Company Limited,CLI,58,595.0,600.0,595.0,384,229088.2,600.0,0.0,2024-09-25 11:10:15.555124,20,600.0,596.58
235,Himalayan Distillery Limited,HDL,58,1240.0,1240.0,1235.0,415,514056.0,1240.0,0.16,2024-09-25 11:10:15.473354,10,1238.0,1238.69
154,Chilime Hydropower Company Limited,CHCL,58,538.0,548.6,536.0,1364,736177.4,548.6,1.97,2024-09-25 11:10:14.882795,49,538.0,539.72
396,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,NMLBBL,58,750.0,750.0,738.0,260,192945.0,738.0,0.14,2024-09-25 11:10:13.437874,50,737.0,742.1
2919,Nepal Infrastructure Bank Limited,NIFRA,58,258.2,262.0,258.2,1701,442374.3,262.0,0.23,2024-09-25 11:10:13.426194,64,261.4,260.07
5982,Sanima Reliance Life Insurance Limited,SRLI,58,557.0,560.0,553.0,2285,1275753.0,557.9,1.6,2024-09-25 11:10:12.88911,140,549.1,558.32
338,Progressive Finance Limited,PROFL,58,503.7,505.0,500.0,5645,2829490.8,505.0,-0.98,2024-09-25 11:10:12.042515,65,510.0,501.24
9176,Ingwa Hydropower Limited,IHL,58,496.0,505.9,496.0,40,20069.0,500.0,-1.19,2024-09-25 11:10:10.717648,10,506.0,501.73
