securityId,totalTrades,lastTradedPrice,securityName,symbol
192,1,790.0,Shikhar Insurance Co. Ltd.,SICL
140,1,233.0,Machhapuchhre Bank Limited,MBL
141,1,236.0,Laxmi Sunrise Bank Limited,LSL
134,1,242.0,Himalayan Bank Limited,HBL
135,1,410.1,Nepal SBI Bank Limited,SBI
213,1,13999.0,Bottlers Nepal (Terai) Limited,BNT
227,1,494.0,Best Finance Company Ltd.,BFC
358,1,456.9,Lumbini Bikas Bank Ltd.,LBBL
256,1,518.2,Samriddhi Finance Company Limited,SFCL
9156,1,439.2,Sanima Middle Tamor Hydropower Limited,TAMOR
9147,1,808.5,Shuvam Power Limited,SPL
9171,1,453.0,Bhugol Energy Development Company Limited,BEDC
9175,1,473.0,Menchhiyam Hydropower Limited,MCHL
9176,1,496.0,Ingwa Hydropower Limited,IHL
9233,1,916.9,Nepal Warehousing Company Limited ,NWCL
9218,1,441.9,Trishuli Jal Vidhyut Company Limited ,TVCL
2744,1,635.4,Green Development Bank Ltd.,GRDBL
2811,1,260.0,Mountain Hydro Nepal Limited,MHNL
2860,1,483.4,Saptakoshi Development Bank Ltd,SAPDBL
8125,1,11.54,NMB Sulav Investment Fund - 2,NSIF2
8066,1,535.0,River Falls Power Limited,RFPL
8100,1,367.5,Swet-Ganga Hydropower & Construction Limited ,SGHC
2935,1,797.6,Ru Ru Jalbidhyut Pariyojana Limited,RURU
8031,1,321.4,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC
8005,1,430.0,Mailung Khola Jal Vidhyut Company Limited,MKJC
